Mexico,27.8,35.1,37,44.5,51,53.3,55.7,54.8,56.1,56.1,57.8,57.8,58.4
Moldova (Republic of),65.6,71.8,76.5,85.9,92.1,92.6,93.6,94.3,95.2,95.2,95.5,95.5,95.5
Mongolia,67.6,70.7,77.8,81.5,85.3,86.4,87.5,88.6,89.7,89.7,90.9,91.2,91.2
Montenegro,..,..,74.3,78.8,83.3,84.2,85.1,86,86.9,86.9,87,87,88
Morocco,9.1,11.9,14.9,17.9,20.7,21.9,23.2,24.5,25.7,25.7,27,28,29
Mozambique,..,..,5.2,5.4,5.9,7.3,8.7,10.1,11.5,13,14,14,14
Myanmar,13,15.2,17.2,19.4,22.9,24,25,26.1,27.1,27.1,28.2,28.7,28.7
Namibia,31.5,29.7,26.6,30.1,33.3,34.5,35.7,36.9,38.1,38.1,39.3,39.9,40.5
Nepal,7,8.1,9.5,13.3,17.7,19.3,20.9,22.5,24.1,24.1,25.7,27.3,29
Netherlands,74.7,78.6,81.8,86.4,87.1,87.2,87.7,86,86.2,86.2,86.4,86.4,86.6
New Zealand,60.5,63.1,72.1,81,92.6,95,94.7,96.8,98.8,98.8,99,99,97.2
Nicaragua,16.4,21.8,28.6,33.9,39.4,41,42.6,44.2,45.7,45.7,47.3,48.3,48.3
Niger,0.8,1,1.4,2,2.4,2.7,3,3.3,3.6,3.6,3.9,4.3,4.3
North Macedonia,..,..,..,..,..,..,..,..,..,40.2,40.5,40.5,41.6
Norway,62.5,69,74.9,96.6,94.5,97.4,96.9,96.5,96.1,96.1,96.3,96.3,96.1
Oman,..,..,25.1,38.4,51.1,54.8,58.5,62.3,66,69.7,73.4,73.4,73.4
Pakistan,6.9,9.8,12.8,19.9,20.7,19.3,24.4,25.2,26.5,26.5,26.6,27,26.7
Palau,..,..,..,..,..,..,..,96.9,96.9,96.9,96.9,96.9,96.9
"Palestine, State of",..,..,37.9,40.8,49.1,51,53.9,55.6,56.3,56.3,58.5,58.5,60
Panama,45.1,47,48.9,55.7,62.5,64.4,66.3,68.2,70.1,72,72.7,72.7,74.8
Papua New Guinea,7.2,8.7,7.7,7.1,7.6,7.9,8.2,8.5,8.8,8.8,9.1,9.5,9.9
Paraguay,25.1,25.7,25.2,39.2,32,35.6,39.1,42.7,46.2,46.2,47,47,47.3
Peru,37.9,42.6,50.7,43.6,53.2,54.1,56.3,57.3,56.2,56.2,57.1,57.1,57.4
Philippines,44.2,46.6,49,65.1,67.5,68.7,69.9,71.1,72.8,74.6,75.6,75.6,75.6
Poland,55.7,60.6,64.9,71.1,77.9,78.8,79.4,80.4,81.1,81.1,81.1,81.1,82.9
